"title","description","release_year","director_name","poster_url","genre_names","imdb_score","imdb_votes","rt_score","rt_votes","letterboxd_score","letterboxd_votes"
"The Pianist","The true story of pianist Władysław Szpilman’s experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.","2002","Roman Polanski","https://a.ltrbxd.com/resized/film-poster/5/1/6/7/2/51672-the-pianist-0-1000-0-1500-crop.jpg?v=3eee5ac018","Drama,War,History","8.5","970000","96%","250000","4.4","914000"
"Gladiator","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome’s most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.","2000","Ridley Scott","https://a.ltrbxd.com/resized/film-poster/5/1/9/5/2/51952-gladiator-2000-0-1000-0-1500-crop.jpg?v=0071a74571","Action,Adventure,Drama","8.5","1800000","87%","250000","4.1","1511000"
"Alien","During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.","1979","Ridley Scott","https://a.ltrbxd.com/resized/sm/upload/8v/f1/qw/aa/bg7K6VtUG7Ew70gQj6SSroD5d4R-0-1000-0-1500-crop.jpg?v=a932f9e98e","Horror,Science Fiction","8.5","1000000","94%","250000","4.3","1433000"
"American Gangster","Loosely based on the criminal career of Frank Lucas, a gangster from La Grange, North Carolina, who smuggled heroin into the United States on American service planes returning from the Vietnam War, before being detained by a task force led by Newark Detective Richie Roberts.","2007","Ridley Scott","https://a.ltrbxd.com/resized/film-poster/4/9/0/1/9/49019-american-gangster-0-1000-0-1500-crop.jpg?v=a49b2d92f6","Crime,Drama","7.8","472000","90%","250000","3.9","252000"
"Blade Runner","In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.","1982","Ridley Scott","https://a.ltrbxd.com/resized/sm/upload/85/io/38/dz/vfzE3pjE5G7G7kcZWrA3fnbZo7V-0-1000-0-1500-crop.jpg?v=0d5de70f0d","Thriller,Drama,Science Fiction","8.1","855000","91%","250000","4.1","1131000"
"The Thing","In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror… and becomes one of them.","1982","John Carpenter","https://a.ltrbxd.com/resized/sm/upload/t3/qn/vs/p5/s5fH3GqFcHbi2F0NSBSh4KRNTc0-0-1000-0-1500-crop.jpg?v=01880125bb","Mystery,Science Fiction,Horror","8.2","500000","92%","100000","4.4","931000"
"Halloween","Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","1978","John Carpenter","https://a.ltrbxd.com/resized/film-poster/6/0/2/9/8/60298-halloween-0-1000-0-1500-crop.jpg?v=bcb3149dda","Horror,Thriller","7.7","324000","89%","250000","3.8","854000"
"The Exorcist","When a charming 12-year-old girl takes on the characteristics and voices of others, doctors say there is nothing they can do. As people begin to die, the girl’s mother realizes her daughter has been possessed by the Devil. Her daughter’s only possible hope lies with two priests and the ancient rite of demonic exorcism.","1973","William Friedkin","https://a.ltrbxd.com/resized/film-poster/4/7/0/4/8/47048-the-exorcist-0-1000-0-1500-crop.jpg?v=897c9aa211","Horror","8.1","479000","87%","250000","4.0","777000"
"Jaws","When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town’s chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.","1975","Steven Spielberg","https://a.ltrbxd.com/resized/film-poster/5/1/5/4/2/51542-jaws-0-1000-0-1500-crop.jpg?v=03299455f6","Thriller,Horror,Adventure","8.1","696000","91%","250000","3.9","1182000"
"The Big Lebowski","Jeffrey ‘The Dude’ Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.","1998","Joel Coen","https://a.ltrbxd.com/resized/film-poster/5/1/9/3/5/51935-the-big-lebowski-0-1000-0-1500-crop.jpg?v=5cd64defcf","Comedy,Crime","8.1","892000","93%","250000","4.1","1000000"
"Nacho Libre","Ignacio, a disrespected cook at a Mexican monastery, can barely afford to feed the orphans who live there. Inspired by a local wrestling hero, he decides to moonlight as the not-so-famous Luchador “Nacho Libre” to earn money for the monastery – not to mention the admiration of beautiful nun Sister Encarnación.","2006","Jared Hess","https://a.ltrbxd.com/resized/film-poster/4/7/2/4/2/47242-nacho-libre-0-1000-0-1500-crop.jpg?v=0ab63f1868","Comedy","5.9","99000","55%","250000","3.4","187000"
"Up","Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","2009","Pete Docter","https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-1000-0-1500-crop.jpg?v=eac6a19a4c","Animation,Comedy,Adventure,Family","8.3","1200000","90%","250000","4.1","2183000"
